S,S,H,WO,WO,FO,H,S,S,S,P,P,F,S,S,H,F,WO,S,S
S,WO,H,WO,FO,FO,W4,H,H,S,WO,H,S,W4,H,P,WO,WO,H,S
WO,WO,P,H,P,F,WC3,W2,GO,H,P,WO,F,W3,GO,P,P,P,WO,WO
WO,P,P,P,P,P,P,H,P,R1,R1,RC1,F,F,P,P,P,P,WO,H
H,P,P,P,P,R2,H,P,F,F,H,RC2,R1,R1,R1,P,P,P,H,S
H,W3,GO,P,WO,RC2,RC1,WO,P,F,P,P,P,P,F,FO,FO,P,WO,F
S,WC3,W1,WO,WO,H,R2,WO,P,FO,FO,WO,WO,P,H,H,FO,R2,WO,F
S,P,F,P,F,P,RC2,R1,WO,WO,FO,H,WO,WO,P,H,RC4,RC3,WO,WO
P,P,P,FO,R2,P,WO,WO,H,H,S,H,H,WO,WO,WO,R2,H,H,WO
H,H,FO,RC4,RC3,WO,H,H,H,S,S,S,S,GO,F,F,P,WO,S,S
S,S,H,R2,GO,W3,S,S,S,S,S,H,WO,P,P,F,W3,WO,WO,WO
WO,WO,FO,R2,F,WC3,WC4,H,H,S,H,WO,WO,R1,R1,RC1,WC3,W1,W2,H
S,WO,WO,R2,H,H,W3,WO,H,S,H,WO,F,FO,H,RC2,RC1,F,F,P
H,WO,H,RC2,RC1,FO,FO,P,WO,S,F,F,FO,P,H,WO,R2,FO,H,S
H,WO,WO,P,R2,FO,F,F,R1,R1,RC1,P,P,F,P,P,R2,FO,H,S
S,GO,P,P,R2,P,H,F,H,P,RC2,R1,RC1,H,P,P,P,P,WO,S
S,P,P,P,R2,P,FO,P,P,F,GO,P,RC2,R1,WO,P,P,P,WO,WO
WO,WO,P,P,P,H,FO,H,WO,F,WO,H,P,WO,GO,P,P,WO,WO,H
S,WO,WO,P,F,FO,WO,WO,S,H,WO,P,P,WO,S,H,H,WO,H,S
S,S,H,WO,F,F,H,H,S,S,F,W,S,S,P,F,F,S,S,S
