M2,M,H,WO,WO,FO,H,M,M2,M2,P,P,F,M,M2,H,F,WO,M,M2
M,WO,H,WO,FO,FO,W4,H,H,M,WO,H,M,W4,H,P,WO,WO,H,M
WO,WO,P,H,P,F,WC3,W2,GO,H,P,WO,F,W3,GO,P,P,P,WO,WO
WO,P,P,P,P,P,P,H,P,R1,R1,RC1,F,F,P,P,P,P,WO,H
H,P,P,P,P,R2,H,P,F,F,H,RC2,R1,R1,R1,P,P,P,H,M
H,W3,GO,P,WO,RC2,RC1,WO,P,F,P,P,P,P,F,FO,FO,P,WO,F
M2,WC3,W1,WO,WO,H,R2,WO,P,FO,FO,WO,WO,P,H,H,FO,R2,WO,F
M2,P,F,P,F,P,RC2,R1,WO,WO,FO,H,WO,WO,P,H,RC4,RC3,WO,WO
P,P,P,FO,R2,P,WO,WO,H,H,M,H,H,WO,WO,WO,R2,H,H,WO
H,H,FO,RC4,RC3,WO,H,H,H,M,M2,M,M,GO,F,F,P,WO,M,M
M,M,H,R2,GO,W3,M,M,M2,M2,M2,H,WO,P,P,F,W3,WO,WO,WO
WO,WO,FO,R2,F,WC3,WC4,H,H,M2,H,WO,WO,R1,R1,RC1,WC3,W1,W2,H
M,WO,WO,R2,H,H,W4,WO,H,M2,H,WO,F,FO,H,RC2,RC1,F,F,P
H,WO,H,RC2,RC1,FO,FO,P,WO,M,F,F,FO,P,H,WO,R2,FO,H,M2
H,WO,WO,P,R2,FO,F,F,R1,R1,RC1,P,P,F,P,P,R2,FO,H,M2
M,GO,P,P,R2,P,H,F,H,P,RC2,R1,RC1,H,P,P,P,P,WO,M
M,P,P,P,R2,P,FO,P,P,F,GO,P,RC2,R1,WO,P,P,P,WO,WO
WO,WO,P,P,P,H,FO,H,WO,F,WO,H,P,WO,GO,P,P,WO,WO,H
M,WO,WO,P,F,FO,WO,WO,M,H,WO,P,P,WO,M,H,H,WO,H,M
M2,M,H,WO,F,F,H,H,M,M,F,W,M,M2,P,F,F,M,M,M
